"Microchip","dftd","Sex","age","Weight","Headwidth","year","TrapID"
"982000362816378",0,"Male",26,7.8,101,2015,"FNP021"
"982000362816378",0,"Male",58,9,115.7,2018,"FNP023"
"982000362816378",0,"Male",51,9.2,111.7,2017,"FNP023"
"982000362816378",0,"Male",28,8,110,2015,"FNP018"
"982000362816378",0,"Male",38,9,113.6,2016,"FNP007"
"982000362816378",0,"Male",30,8.2,109.8,2015,"FNP015"
"982000362816396",1,"Male",29,7.8,119.1,2016,"FNP068"
"982000362816396",0,"Male",16,8,107,2015,"FNP072"
"982000362816458",0,"Male",17,8.8,113.4,2015,"FNP100"
"982000362816458",0,"Male",14,8,108,2015,"FNP098"
"982000362816535",0,"Female",16,6,92,2015,"FNP033"
"982000362816535",0,"Female",29,7,103.4,2016,"FNP039"
"982000362816598",1,"Female",16,7,100.5,2016,"FNP090"
"982000362816808",0,"Male",17,7.2,104.4,2015,"FNP090"
"982000362816808",0,"Male",16,7,107,2015,"FNP094"
"982000362816986",0,"Male",18,6.4,104.8,2015,"FNP007"
"982000362816986",0,"Male",43,9.5,119.7,2017,"FNP002"
"982000362816986",0,"Male",14,5.9,98,2015,"FNP002"
"982000362816986",1,"Male",48,9,120.7,2018,"FNP001"
"982000362826111",0,"Male",29,11,115.7,2016,"FNP036"
"982000362826111",0,"Male",18,8.6,107.7,2015,"FNP033"
"982000362826111",0,"Male",16,7,100,2015,"FNP033"
"982000362826111",0,"Male",22,9.5,113.1,2016,"FNP035"
"982000362826111",0,"Male",14,6.1,94,2015,"FNP035"
"982000362826440",0,"Male",14,7.8,106,2015,"FNP096"
"982000362826645",1,"Male",26,8.5,110,2015,"FNP092"
"982000362826727",0,"Female",41,8.3,109.1,2015,"FNP077"
"982000362826727",0,"Female",40,9,111,2015,"FNP031"
"982000362826930",0,"Male",20,7.7,111.7,2016,"FNP006"
"982000362826930",0,"Male",34,11.2,120,2018,"FNP005"
"982000362826930",0,"Male",31,9.2,111.3,2017,"FNP005"
"982000362833391",1,"Male",17,7.6,107.2,2016,"FNP054"
"982000362833391",1,"Male",19,8.7,112.2,2016,"FNP053"
"982000362833456",1,"Female",20,5.9,103.1,2016,"FNP084"
"982000362833456",0,"Female",14,5.8,99.6,2016,"FNP105"
"982000362833824",0,"Male",14,6,94.2,2016,"FNP090"
"982000362833959",0,"Male",14,5.5,91,2016,"FNP094"
"982000362833959",0,"Male",17,6.8,103.7,2016,"FNP057"
"982000362833959",0,"Male",16,6,101.7,2016,"FNP092"
"982000362848145",1,"Male",14,4.8,90,2015,"FNP049"
"982000363000206",0,"Male",16,8.6,115.7,2016,"FNP095"
"982000363000552",0,"Male",26,10.1,110.2,2017,"FNP083"
"982000363000552",0,"Male",16,8,110.3,2016,"FNP080"
"982000363000552",1,"Male",34,9,121.4,2018,"FNP077"
"982000363000552",0,"Male",14,6.8,105.9,2016,"FNP079"
"982000363000578",0,"Female",16,5.6,96.9,2016,"FNP083"
"982000363000578",0,"Female",14,5.1,93.4,2016,"FNP079"
"982000363000578",0,"Female",26,6.5,97,2017,"FNP083"
"982000363000578",0,"Female",43,6.8,104.3,2018,"FNP083"
"982000363001837",0,"Male",19,9,115.5,2016,"FNP045"
"982000363002096",0,"Male",16,7.4,108.2,2016,"FNP083"
"982000363002096",0,"Male",14,6.4,98.4,2016,"FNP083"
"982000363002403",0,"Male",14,6.7,96.1,2016,"FNP112"
"982000363002403",0,"Male",26,10,111.5,2017,"FNP101"
"982000363002403",0,"Male",17,8.1,107.7,2016,"FNP102"
"982000363007014",0,"Female",14,6.5,99.9,2016,"FNP083"
"982000363007014",0,"Female",16,6.3,102.4,2016,"FNP082"
"982000363007014",0,"Female",20,7.3,104.8,2016,"FNP037"
"982000363007185",0,"Male",16,7.6,109.9,2016,"FNP082"
"982000363007478",0,"Female",17,6.7,101.1,2016,"FNP056"
"982000363007478",1,"Female",19,6.6,102.2,2016,"FNP054"
"982000363010995",0,"Female",14,6.1,96,2015,"FNP085"
"982000363016881",0,"Female",18,6,100.3,2015,"FNP008"
"982000363016881",0,"Female",14,6.1,94,2015,"FNP015"
"982000363016905",0,"Female",52,9.1,108.9,2018,"FNP018"
"982000363016905",0,"Female",16,6,100,2015,"FNP016"
"982000363016905",0,"Female",49,8.9,109.5,2018,"FNP017"
"982000363016905",0,"Female",18,8.1,102.4,2015,"FNP006"
"982000363016905",0,"Female",14,6,95,2015,"FNP009"
"982000363016905",0,"Female",27,7.7,104.9,2016,"FNP025"
"982000363016905",0,"Female",43,8,107,2017,"FNP011"
"982000363016905",0,"Female",32,7.7,106.4,2016,"FNP006"
"982000363016979",0,"Female",14,5.8,99,2015,"FNP082"
"982000363016979",0,"Female",28,7.3,107.7,2016,"FNP081"
"982000363016979",0,"Female",26,8.4,105.9,2016,"FNP079"
"982000363017030",0,"Female",14,4.6,94,2015,"FNP098"
"982000363017030",0,"Female",18,5.2,98.3,2015,"FNP049"
"982000363017310",0,"Male",14,7,102,2015,"FNP108"
"982000363017310",0,"Male",17,8.1,112.1,2015,"FNP105"
"982000363017310",0,"Male",17,8.1,112.1,2015,"FNP124"
"982000363017493",0,"Male",18,8.2,112.2,2015,"FNP033"
"982000363017493",0,"Male",27,10.7,117.9,2016,"FNP033"
"982000363017493",0,"Male",14,7.8,109,2015,"FNP033"
"982000363017554",0,"Male",29,9.2,115.1,2016,"FNP022"
"982000363017554",0,"Male",18,7.1,110.8,2015,"FNP035"
"982000363017554",0,"Male",22,8.2,110.6,2016,"FNP039"
"982000363017554",0,"Male",32,9.7,119.1,2016,"FNP040"
"982000363017554",0,"Male",30,9.6,118.2,2016,"FNP018"
"982000363017554",1,"Male",46,9.8,118.4,2018,"FNP040"
"982000363017554",0,"Male",16,7,107,2015,"FNP018"
"982000363017554",0,"Male",14,6.7,100,2015,"FNP020"
"982000363017675",0,"Male",17,7.4,107.3,2016,"FNP033"
"982000363017675",0,"Male",20,8.3,112.6,2016,"FNP039"
"982000363017675",0,"Male",15,7.4,106.2,2016,"FNP033"
"982000363017681",0,"Male",14,7.1,90,2015,"FNP034"
"982000363021953",0,"Male",14,5.9,96,2015,"FNP098"
"982000363022085",0,"Male",41,11.5,122.3,2015,"FNP078"
"982000363022085",0,"Male",42,11.6,120.8,2015,"FNP079"
"982000363022085",0,"Male",37,9.7,112,2015,"FNP033"
"982000363022085",0,"Male",38,10.8,121,2015,"FNP080"
